beginning training
Iteration 0 completed.
Training loss: 4.60517024994
Training accuracy: 0.0078125
Test loss: 6.71237602234
Test accuracy: 0.0125
Iteration 100 completed.
Training loss: 4.59967422485
Training accuracy: 0.01171875
Test loss: 4.59639863968
Test accuracy: 0.0078125
Iteration 200 completed.
Training loss: 4.43066692352
Training accuracy: 0.03125
Test loss: 4.41985282898
Test accuracy: 0.01640625
Iteration 300 completed.
Training loss: 4.41072654724
Training accuracy: 0.02734375
Test loss: 4.29939260483
Test accuracy: 0.0296875
Iteration 400 completed.
Training loss: 4.2395734787
Training accuracy: 0.0390625
Test loss: 4.21576499939
Test accuracy: 0.0453125
Iteration 500 completed.
Training loss: 4.10213899612
Training accuracy: 0.0234375
Test loss: 4.06825361252
Test accuracy: 0.06953125
Iteration 600 completed.
Training loss: 4.07569217682
Training accuracy: 0.0390625
Test loss: 4.02344427109
Test accuracy: 0.0828125
Iteration 700 completed.
Training loss: 4.1815032959
Training accuracy: 0.0546875
Test loss: 4.02599205971
Test accuracy: 0.0625
Iteration 800 completed.
Training loss: 3.89754199982
Training accuracy: 0.05859375
Test loss: 3.9363699913
Test accuracy: 0.0890625
Iteration 900 completed.
Training loss: 3.93119692802
Training accuracy: 0.06640625
Test loss: 3.82427802086
Test accuracy: 0.096875
Iteration 1000 completed.
Training loss: 3.86185073853
Training accuracy: 0.09375
Test loss: 3.77981567383
Test accuracy: 0.11875
Iteration 1100 completed.
Training loss: 3.87580633163
Training accuracy: 0.10546875
Test loss: 3.71088628769
Test accuracy: 0.12265625
Iteration 1200 completed.
Training loss: 3.85408139229
Training accuracy: 0.09765625
Test loss: 3.73933820724
Test accuracy: 0.109375
Iteration 1300 completed.
Training loss: 3.83227372169
Training accuracy: 0.078125
Test loss: 3.58693671227
Test accuracy: 0.1234375
Iteration 1400 completed.
Training loss: 3.63195085526
Training accuracy: 0.11328125
Test loss: 3.53964328766
Test accuracy: 0.14765625
Iteration 1500 completed.
Training loss: 3.49636006355
Training accuracy: 0.171875
Test loss: 3.50398755074
Test accuracy: 0.15703125
Iteration 1600 completed.
Training loss: 3.50310397148
Training accuracy: 0.1640625
Test loss: 3.46846055984
Test accuracy: 0.15078125
Iteration 1700 completed.
Training loss: 3.51040101051
Training accuracy: 0.16015625
Test loss: 3.37498621941
Test accuracy: 0.17421875
Iteration 1800 completed.
Training loss: 3.53352928162
Training accuracy: 0.1328125
Test loss: 3.40012288094
Test accuracy: 0.1796875
Iteration 1900 completed.
Training loss: 3.38700199127
Training accuracy: 0.17578125
Test loss: 3.36087226868
Test accuracy: 0.19140625
Iteration 2000 completed.
Training loss: 3.49612689018
Training accuracy: 0.1484375
Test loss: 3.2834104538
Test accuracy: 0.1859375
Iteration 2100 completed.
Training loss: 3.39304304123
Training accuracy: 0.15625
Test loss: 3.3024766922
Test accuracy: 0.19765625
Iteration 2200 completed.
Training loss: 3.40057229996
Training accuracy: 0.19140625
Test loss: 3.23013477325
Test accuracy: 0.2015625
Iteration 2300 completed.
Training loss: 3.43872451782
Training accuracy: 0.1640625
Test loss: 3.20043611526
Test accuracy: 0.21015625
Iteration 2400 completed.
Training loss: 3.34781265259
Training accuracy: 0.19140625
Test loss: 3.11183815002
Test accuracy: 0.22265625
Iteration 2500 completed.
Training loss: 3.32212638855
Training accuracy: 0.1875
Test loss: 3.14099822044
Test accuracy: 0.23359375
Iteration 2600 completed.
Training loss: 3.32451152802
Training accuracy: 0.1796875
Test loss: 3.15681319237
Test accuracy: 0.22421875
Iteration 2700 completed.
Training loss: 3.2796125412
Training accuracy: 0.2265625
Test loss: 3.1709795475
Test accuracy: 0.225
Iteration 2800 completed.
Training loss: 3.25588846207
Training accuracy: 0.19921875
Test loss: 3.0662566185
Test accuracy: 0.23125
Iteration 2900 completed.
Training loss: 3.16208457947
Training accuracy: 0.24609375
Test loss: 3.04873895645
Test accuracy: 0.23046875
Iteration 3000 completed.
Training loss: 2.98478984833
Training accuracy: 0.25390625
Test loss: 3.06782512665
Test accuracy: 0.22890625
Iteration 3100 completed.
Training loss: 3.21725034714
Training accuracy: 0.19921875
Test loss: 3.02169175148
Test accuracy: 0.2453125
Iteration 3200 completed.
Training loss: 3.00602936745
Training accuracy: 0.2421875
Test loss: 2.93172235489
Test accuracy: 0.25625
Iteration 3300 completed.
Training loss: 3.18869638443
Training accuracy: 0.19140625
Test loss: 2.96302466393
Test accuracy: 0.25390625
Iteration 3400 completed.
Training loss: 2.96814918518
Training accuracy: 0.2421875
Test loss: 2.93474678993
Test accuracy: 0.27265625
Iteration 3500 completed.
Training loss: 2.98315167427
Training accuracy: 0.27734375
Test loss: 2.8705663681
Test accuracy: 0.27421875
Iteration 3600 completed.
Training loss: 3.05182695389
Training accuracy: 0.2734375
Test loss: 2.90709686279
Test accuracy: 0.25078125
Iteration 3700 completed.
Training loss: 2.89297962189
Training accuracy: 0.28515625
Test loss: 2.9172375679
Test accuracy: 0.28125
Iteration 3800 completed.
Training loss: 2.82344722748
Training accuracy: 0.25
Test loss: 2.84598402977
Test accuracy: 0.28125
Iteration 3900 completed.
Training loss: 2.90469312668
Training accuracy: 0.25
Test loss: 2.80610890388
Test accuracy: 0.28984375
