beginning training
Iteration 0 completed.
Training loss: 4.60517024994
Training accuracy: 0.0078125
Test loss: 4.60524015427
Test accuracy: 0.003125
Iteration 100 completed.
Training loss: 4.41157627106
Training accuracy: 0.0
Test loss: 4.31694526672
Test accuracy: 0.0171875
Iteration 200 completed.
Training loss: 4.16641139984
Training accuracy: 0.0390625
Test loss: 4.12004175186
Test accuracy: 0.053125
Iteration 300 completed.
Training loss: 4.14202404022
Training accuracy: 0.0625
Test loss: 4.00774936676
Test accuracy: 0.0734375
Iteration 400 completed.
Training loss: 3.93526124954
Training accuracy: 0.0625
Test loss: 3.98958888054
Test accuracy: 0.0578125
Iteration 500 completed.
Training loss: 4.02530145645
Training accuracy: 0.0546875
Test loss: 3.84799890518
Test accuracy: 0.1078125
Iteration 600 completed.
Training loss: 3.74258804321
Training accuracy: 0.0859375
Test loss: 3.85850234032
Test accuracy: 0.0890625
Iteration 700 completed.
Training loss: 3.90287280083
Training accuracy: 0.0703125
Test loss: 3.71410374641
Test accuracy: 0.1234375
Iteration 800 completed.
Training loss: 3.76316404343
Training accuracy: 0.1015625
Test loss: 3.77222089767
Test accuracy: 0.09375
Iteration 900 completed.
Training loss: 3.50773572922
Training accuracy: 0.1640625
Test loss: 3.62305316925
Test accuracy: 0.1484375
Iteration 1000 completed.
Training loss: 3.60018634796
Training accuracy: 0.1484375
Test loss: 3.62382678986
Test accuracy: 0.13125
Iteration 1100 completed.
Training loss: 3.76896333694
Training accuracy: 0.09375
Test loss: 3.50274190903
Test accuracy: 0.1359375
Iteration 1200 completed.
Training loss: 3.75546216965
Training accuracy: 0.0625
Test loss: 3.51467218399
Test accuracy: 0.1484375
Iteration 1300 completed.
Training loss: 3.71365976334
Training accuracy: 0.09375
Test loss: 3.48188447952
Test accuracy: 0.1390625
Iteration 1400 completed.
Training loss: 3.87145662308
Training accuracy: 0.1171875
Test loss: 3.51096682549
Test accuracy: 0.1328125
Iteration 1500 completed.
Training loss: 3.5197467804
Training accuracy: 0.1484375
Test loss: 3.36490793228
Test accuracy: 0.196875
Iteration 1600 completed.
Training loss: 3.36125087738
Training accuracy: 0.1953125
Test loss: 3.32848677635
Test accuracy: 0.1796875
Iteration 1700 completed.
Training loss: 3.41582250595
Training accuracy: 0.1640625
Test loss: 3.24627308846
Test accuracy: 0.1953125
Iteration 1800 completed.
Training loss: 3.39800024033
Training accuracy: 0.1796875
Test loss: 3.34803290367
Test accuracy: 0.16875
Iteration 1900 completed.
Training loss: 3.30330085754
Training accuracy: 0.15625
Test loss: 3.37347145081
Test accuracy: 0.1625
Iteration 2000 completed.
Training loss: 3.40078020096
Training accuracy: 0.1484375
Test loss: 3.26053743362
Test accuracy: 0.19375
Iteration 2100 completed.
Training loss: 3.30410575867
Training accuracy: 0.0859375
Test loss: 3.13420915604
Test accuracy: 0.196875
Iteration 2200 completed.
Training loss: 3.4111032486
Training accuracy: 0.171875
Test loss: 3.10583114624
Test accuracy: 0.2
Iteration 2300 completed.
Training loss: 3.48766136169
Training accuracy: 0.1640625
Test loss: 3.27549953461
Test accuracy: 0.1953125
Iteration 2400 completed.
Training loss: 3.40610408783
Training accuracy: 0.15625
Test loss: 3.13463096619
Test accuracy: 0.225
Iteration 2500 completed.
Training loss: 3.26497936249
Training accuracy: 0.1484375
Test loss: 3.18239245415
Test accuracy: 0.196875
Iteration 2600 completed.
Training loss: 3.35901165009
Training accuracy: 0.1953125
Test loss: 3.13429121971
Test accuracy: 0.209375
Iteration 2700 completed.
Training loss: 3.42679023743
Training accuracy: 0.1640625
Test loss: 3.39497971535
Test accuracy: 0.1671875
Iteration 2800 completed.
Training loss: 3.35572862625
Training accuracy: 0.1796875
Test loss: 3.07716994286
Test accuracy: 0.221875
Iteration 2900 completed.
Training loss: 3.16399931908
Training accuracy: 0.2421875
Test loss: 3.02759447098
Test accuracy: 0.221875
Iteration 3000 completed.
Training loss: 3.24376440048
Training accuracy: 0.21875
Test loss: 3.03142290115
Test accuracy: 0.234375
Iteration 3100 completed.
Training loss: 3.16622543335
Training accuracy: 0.2265625
Test loss: 3.02779102325
Test accuracy: 0.2203125
Iteration 3200 completed.
Training loss: 3.23699998856
Training accuracy: 0.21875
Test loss: 3.04143095016
Test accuracy: 0.2375
Iteration 3300 completed.
Training loss: 3.31752038002
Training accuracy: 0.203125
Test loss: 2.92159247398
Test accuracy: 0.265625
Iteration 3400 completed.
Training loss: 3.14960956573
Training accuracy: 0.1875
Test loss: 3.02445235252
Test accuracy: 0.2234375
Iteration 3500 completed.
Training loss: 3.02317285538
Training accuracy: 0.2421875
Test loss: 3.15811810493
Test accuracy: 0.234375
Iteration 3600 completed.
Training loss: 3.05726051331
Training accuracy: 0.25
Test loss: 3.07098646164
Test accuracy: 0.21875
Iteration 3700 completed.
Training loss: 3.3796210289
Training accuracy: 0.21875
Test loss: 3.11997785568
Test accuracy: 0.2203125
Iteration 3800 completed.
Training loss: 3.16687679291
Training accuracy: 0.2421875
Test loss: 3.03180289268
Test accuracy: 0.234375
Iteration 3900 completed.
Training loss: 3.29662132263
Training accuracy: 0.203125
Test loss: 2.98461952209
Test accuracy: 0.253125
Iteration 4000 completed.
